"","emoji.counts","unicode","bytes","description"
"1",746,"U+1F602","\xF0\x9F\x98\x82","face with tears of joy"
"2",378,"U+1F629","\xF0\x9F\x98\xA9","weary face"
"3",302,"U+1F62D","\xF0\x9F\x98\xAD","loudly crying face"
"4",265,"U+1F60D","\xF0\x9F\x98\x8D","smiling face with heart-shaped eyes"
"5",257,"U+1F60A","\xF0\x9F\x98\x8A","smiling face with smiling eyes"
"6",223,"U+1F4AF","\xF0\x9F\x92\xAF","hundred points symbol"
"7",203,"U+1F60E","\xF0\x9F\x98\x8E","smiling face with sunglasses"
"8",195,"U+2764","\xE2\x9D\xA4","heavy black heart"
"9",162,"U+1F618","\xF0\x9F\x98\x98","face throwing a kiss"
"10",149,"U+1F612","\xF0\x9F\x98\x92","unamused face"
"11",123,"U+1F64C","\xF0\x9F\x99\x8C","person raising both hands in celebration"
"12",108,"U+1F60F","\xF0\x9F\x98\x8F","smirking face"
"13",106,"U+1F601","\xF0\x9F\x98\x81","grinning face with smiling eyes"
"14",103,"U+270C","\xE2\x9C\x8C","victory hand"
"15",101,"U+1F60C","\xF0\x9F\x98\x8C","relieved face"
"16",100,"U+263A","\xE2\x98\xBA","white smiling face"
"17",99,"U+1F525","\xF0\x9F\x94\xA5","fire"
"18",97,"U+1F62B","\xF0\x9F\x98\xAB","tired face"
"19",92,"U+1F4AA","\xF0\x9F\x92\xAA","flexed biceps"
"20",86,"U+1F440","\xF0\x9F\x91\x80","eyes"
"21",77,"U+1F60B","\xF0\x9F\x98\x8B","face savouring delicious food"
"22",75,"U+1F605","\xF0\x9F\x98\x85","smiling face with open mouth and cold sweat"
"23",75,"U+1F495","\xF0\x9F\x92\x95","two hearts"
"24",74,"U+1F44C","\xF0\x9F\x91\x8C","ok hand sign"
"25",74,"U+1F608","\xF0\x9F\x98\x88","smiling face with horns"
"26",73,"U+1F389","\xF0\x9F\x8E\x89","party popper"
"27",60,"U+1F633","\xF0\x9F\x98\xB3","flushed face"
"28",60,"U+203C","\xE2\x80\xBC","double exclamation mark"
"29",59,"U+1F3B6","\xF0\x9F\x8E\xB6","multiple musical notes"
"30",57,"U+1F61C","\xF0\x9F\x98\x9C","face with stuck-out tongue and winking eye"
"31",56,"U+1F615","\xF0\x9F\x98\x95","confused face"
"32",55,"U+1F48B","\xF0\x9F\x92\x8B","kiss mark"
"33",53,"U+1F61D","\xF0\x9F\x98\x9D","face with stuck-out tongue and tightly-closed eyes"
"34",50,"U+1F611","\xF0\x9F\x98\x91","expressionless face"
"35",49,"U+1F481","\xF0\x9F\x92\x81","information desk person"
"36",49,"U+1F610","\xF0\x9F\x98\x90","neutral face"
"37",46,"U+1F614","\xF0\x9F\x98\x94","pensive face"
"38",44,"U+1F64F","\xF0\x9F\x99\x8F","person with folded hands"
"39",44,"U+1F499","\xF0\x9F\x92\x99","blue heart"
"40",40,"U+1F485","\xF0\x9F\x92\x85","nail polish"
"41",39,"U+1F648","\xF0\x9F\x99\x88","see-no-evil monkey"
"42",39,"U+2600","\xE2\x98\x80","black sun with rays"
"43",39,"U+1F44F","\xF0\x9F\x91\x8F","clapping hands sign"
"44",38,"U+1F6AC","\xF0\x9F\x9A\xAC","smoking symbol"
"45",38,"U+1F634","\xF0\x9F\x98\xB4","sleeping face"
"46",37,"U+1F609","\xF0\x9F\x98\x89","winking face"
"47",36,"U+1F451","\xF0\x9F\x91\x91","crown"
"48",35,"U+1F393","\xF0\x9F\x8E\x93","graduation cap"
"49",35,"U+1F483","\xF0\x9F\x92\x83","dancer"
"50",34,"U+1F624","\xF0\x9F\x98\xA4","face with look of triumph"
"51",34,"U+1F37B","\xF0\x9F\x8D\xBB","clinking beer mugs"
"52",34,"U+1F44D","\xF0\x9F\x91\x8D","thumbs up sign"
"53",33,"U+1F622","\xF0\x9F\x98\xA2","crying face"
"54",32,"U+26BE","\xE2\x9A\xBE","baseball"
"55",30,"U+270A","\xE2\x9C\x8A","raised fist"
"56",29,"U+2728","\xE2\x9C\xA8","sparkles"
"57",29,"U+1F49C","\xF0\x9F\x92\x9C","purple heart"
"58",28,"U+1F613","\xF0\x9F\x98\x93","face with cold sweat"
"59",28,"U+2757","\xE2\x9D\x97","heavy exclamation mark symbol"
"60",28,"U+1F498","\xF0\x9F\x92\x98","heart with arrow"
"61",26,"U+1F44B","\xF0\x9F\x91\x8B","waving hand sign"
"62",25,"U+1F496","\xF0\x9F\x92\x96","sparkling heart"
"63",24,"U+1F606","\xF0\x9F\x98\x86","smiling face with open mouth and tightly-closed eyes"
"64",24,"U+1F621","\xF0\x9F\x98\xA1","pouting face"
"65",24,"U+1F1FA U+1F1F8","\xF0\x9F\x87\xBA\xF0\x9F\x87\xB8","regional indicator symbol letter u + regional indicator symbol letter s"
"66",24,"U+1F3A4","\xF0\x9F\x8E\xA4","microphone"
"67",24,"U+1F4B8","\xF0\x9F\x92\xB8","money with wings"
"68",24,"U+1F61B","\xF0\x9F\x98\x9B","face with stuck-out tongue"
"69",23,"U+1F604","\xF0\x9F\x98\x84","smiling face with open mouth and smiling eyes"
"70",23,"U+1F46F","\xF0\x9F\x91\xAF","woman with bunny ears"
"71",23,"U+1F4A6","\xF0\x9F\x92\xA6","splashing sweat symbol"
"72",23,"U+1F52B","\xF0\x9F\x94\xAB","pistol"
"73",22,"U+1F4B0","\xF0\x9F\x92\xB0","money bag"
"74",21,"U+1F49B","\xF0\x9F\x92\x9B","yellow heart"
"75",21,"U+1F46D","\xF0\x9F\x91\xAD","two women holding hands"
"76",20,"U+1F44A","\xF0\x9F\x91\x8A","fisted hand sign"
"77",19,"U+1F64A","\xF0\x9F\x99\x8A","speak-no-evil monkey"
"78",19,"U+1F49E","\xF0\x9F\x92\x9E","revolving hearts"
"79",19,"U+1F607","\xF0\x9F\x98\x87","smiling face with halo"
"80",18,"U+1F616","\xF0\x9F\x98\x96","confounded face"
"81",18,"U+1F378","\xF0\x9F\x8D\xB8","cocktail glass"
"82",18,"U+1F3C0","\xF0\x9F\x8F\x80","basketball and hoop"
"83",18,"U+1F4A8","\xF0\x9F\x92\xA8","dash symbol"
"84",18,"U+1F31A","\xF0\x9F\x8C\x9A","new moon with face"
"85",17,"U+1F61E","\xF0\x9F\x98\x9E","disappointed face"
"86",17,"U+1F38A","\xF0\x9F\x8E\x8A","confetti ball"
"87",17,"U+1F3A7","\xF0\x9F\x8E\xA7","headphone"
"88",17,"U+1F497","\xF0\x9F\x92\x97","growing heart"
"89",16,"U+1F379","\xF0\x9F\x8D\xB9","tropical drink"
"90",16,"U+1F3A5","\xF0\x9F\x8E\xA5","movie camera"
"91",16,"U+1F480","\xF0\x9F\x92\x80","skull"
"92",16,"U+1F48D","\xF0\x9F\x92\x8D","ring"
"93",15,"U+2615","\xE2\x98\x95","hot beverage"
"94",15,"U+1F31F","\xF0\x9F\x8C\x9F","glowing star"
"95",15,"U+1F334","\xF0\x9F\x8C\xB4","palm tree"
"96",15,"U+1F388","\xF0\x9F\x8E\x88","balloon"
"97",14,"U+1F637","\xF0\x9F\x98\xB7","face with medical mask"
"98",14,"U+270B","\xE2\x9C\x8B","raised hand"
"99",14,"U+1F382","\xF0\x9F\x8E\x82","birthday cake"
"100",14,"U+1F4A5","\xF0\x9F\x92\xA5","collision symbol"
"101",14,"U+1F4F7","\xF0\x9F\x93\xB7","camera"
"102",13,"U+1F625","\xF0\x9F\x98\xA5","disappointed but relieved face"
"103",13,"U+2714","\xE2\x9C\x94","heavy check mark"
"104",13,"U+1F374","\xF0\x9F\x8D\xB4","fork and knife"
"105",13,"U+1F489","\xF0\x9F\x92\x89","syringe"
"106",13,"U+1F4B5","\xF0\x9F\x92\xB5","banknote with dollar sign"
"107",13,"U+1F600","\xF0\x9F\x98\x80","grinning face"
"108",13,"U+1F62C","\xF0\x9F\x98\xAC","grimacing face"
"109",12,"U+1F623","\xF0\x9F\x98\xA3","persevering face"
"110",12,"U+1F197","\xF0\x9F\x86\x97","squared ok"
"111",12,"U+0031 U+20E3","\x31\xE2\x83\xA3","digit one + combining enclosing keycap"
"112",12,"U+1F339","\xF0\x9F\x8C\xB9","rose"
"113",12,"U+1F377","\xF0\x9F\x8D\xB7","wine glass"
"114",12,"U+1F37A","\xF0\x9F\x8D\xBA","beer mug"
"115",12,"U+1F445","\xF0\x9F\x91\x85","tongue"
"116",12,"U+1F44E","\xF0\x9F\x91\x8E","thumbs down sign"
"117",12,"U+1F31E","\xF0\x9F\x8C\x9E","sun with face"
"118",11,"U+1F63B","\xF0\x9F\x98\xBB","smiling cat face with heart-shaped eyes"
"119",11,"U+1F63D","\xF0\x9F\x98\xBD","kissing cat face with closed eyes"
"120",11,"U+1F303","\xF0\x9F\x8C\x83","night with stars"
"121",11,"U+1F335","\xF0\x9F\x8C\xB5","cactus"
"122",11,"U+1F380","\xF0\x9F\x8E\x80","ribbon"
"123",11,"U+1F487","\xF0\x9F\x92\x87","haircut"
"124",11,"U+1F636","\xF0\x9F\x98\xB6","face without mouth"
"125",10,"U+1F647","\xF0\x9F\x99\x87","person bowing deeply"
"126",10,"U+1F6A8","\xF0\x9F\x9A\xA8","police cars revolving light"
"127",10,"U+25FD","\xE2\x97\xBD","white medium small square"
"128",10,"U+26AA","\xE2\x9A\xAA","medium white circle"
"129",10,"U+1F308","\xF0\x9F\x8C\x88","rainbow"
"130",10,"U+1F30A","\xF0\x9F\x8C\x8A","water wave"
"131",10,"U+1F450","\xF0\x9F\x91\x90","open hands sign"
"132",10,"U+1F478","\xF0\x9F\x91\xB8","princess"
"133",10,"U+1F479","\xF0\x9F\x91\xB9","japanese ogre"
"134",10,"U+1F482","\xF0\x9F\x92\x82","guardsman"
"135",10,"U+1F61F","\xF0\x9F\x98\x9F","worried face"
"136",9,"U+1F603","\xF0\x9F\x98\x83","smiling face with open mouth"
"137",9,"U+1F620","\xF0\x9F\x98\xA0","angry face"
"138",9,"U+1F62A","\xF0\x9F\x98\xAA","sleepy face"
"139",9,"U+2708","\xE2\x9C\x88","airplane"
"140",9,"U+274C","\xE2\x9D\x8C","cross mark"
"141",9,"U+2753","\xE2\x9D\x93","black question mark ornament"
"142",9,"U+267B","\xE2\x99\xBB","black universal recycling symbol"
"143",9,"U+1F33B","\xF0\x9F\x8C\xBB","sunflower"
"144",9,"U+1F33C","\xF0\x9F\x8C\xBC","blossom"
"145",9,"U+1F34C","\xF0\x9F\x8D\x8C","banana"
"146",9,"U+1F3B5","\xF0\x9F\x8E\xB5","musical note"
"147",9,"U+1F3C3","\xF0\x9F\x8F\x83","runner"
"148",9,"U+1F448","\xF0\x9F\x91\x88","white left pointing backhand index"
"149",9,"U+1F46B","\xF0\x9F\x91\xAB","man and woman holding hands"
"150",9,"U+1F490","\xF0\x9F\x92\x90","bouquet"
"151",9,"U+1F494","\xF0\x9F\x92\x94","broken heart"
"152",9,"U+1F49F","\xF0\x9F\x92\x9F","heart decoration"
"153",9,"U+1F50A","\xF0\x9F\x94\x8A","speaker with three sound waves"
"154",8,"U+1F631","\xF0\x9F\x98\xB1","face screaming in fear"
"155",8,"U+0032 U+20E3","\x32\xE2\x83\xA3","digit two + combining enclosing keycap"
"156",8,"U+25AB","\xE2\x96\xAB","white small square"
"157",8,"U+1F300","\xF0\x9F\x8C\x80","cyclone"
"158",8,"U+1F337","\xF0\x9F\x8C\xB7","tulip"
"159",8,"U+1F33A","\xF0\x9F\x8C\xBA","hibiscus"
"160",8,"U+1F343","\xF0\x9F\x8D\x83","leaf fluttering in wind"
"161",8,"U+1F351","\xF0\x9F\x8D\x91","peach"
"162",8,"U+1F3C6","\xF0\x9F\x8F\x86","trophy"
"163",8,"U+1F453","\xF0\x9F\x91\x93","eyeglasses"
"164",8,"U+1F463","\xF0\x9F\x91\xA3","footprints"
"165",8,"U+1F488","\xF0\x9F\x92\x88","barber pole"
"166",8,"U+1F49A","\xF0\x9F\x92\x9A","green heart"
"167",8,"U+1F333","\xF0\x9F\x8C\xB3","deciduous tree"
"168",7,"U+2755","\xE2\x9D\x95","white exclamation mark ornament"
"169",7,"U+1F697","\xF0\x9F\x9A\x97","automobile"
"170",7,"U+00AE","\xC2\xAE","registered sign"
"171",7,"U+25FB","\xE2\x97\xBB","white medium square"
"172",7,"U+1F319","\xF0\x9F\x8C\x99","crescent moon"
"173",7,"U+1F381","\xF0\x9F\x8E\x81","wrapped present"
"174",7,"U+1F3CA","\xF0\x9F\x8F\x8A","swimmer"
"175",7,"U+1F436","\xF0\x9F\x90\xB6","dog face"
"176",7,"U+1F460","\xF0\x9F\x91\xA0","high-heeled shoe"
"177",7,"U+1F47F","\xF0\x9F\x91\xBF","imp"
"178",7,"U+1F30E","\xF0\x9F\x8C\x8E","earth globe americas"
"179",7,"U+1F4AD","\xF0\x9F\x92\xAD","thought balloon"
"180",6,"U+1F61A","\xF0\x9F\x98\x9A","kissing face with closed eyes"
"181",6,"U+1F645","\xF0\x9F\x99\x85","face with no good gesture"
"182",6,"U+1F64B","\xF0\x9F\x99\x8B","happy person raising one hand"
"183",6,"U+1F6B6","\xF0\x9F\x9A\xB6","pedestrian"
"184",6,"U+2122","\xE2\x84\xA2","trade mark sign"
"185",6,"U+2665","\xE2\x99\xA5","black heart suit"
"186",6,"U+2B50","\xE2\xAD\x90","white medium star"
"187",6,"U+1F33F","\xF0\x9F\x8C\xBF","herb"
"188",6,"U+1F349","\xF0\x9F\x8D\x89","watermelon"
"189",6,"U+1F354","\xF0\x9F\x8D\x94","hamburger"
"190",6,"U+1F366","\xF0\x9F\x8D\xA6","soft ice cream"
"191",6,"U+1F369","\xF0\x9F\x8D\xA9","doughnut"
"192",6,"U+1F36B","\xF0\x9F\x8D\xAB","chocolate bar"
"193",6,"U+1F3B8","\xF0\x9F\x8E\xB8","guitar"
"194",6,"U+1F3BC","\xF0\x9F\x8E\xBC","musical score"
"195",6,"U+1F459","\xF0\x9F\x91\x99","bikini"
"196",6,"U+1F464","\xF0\x9F\x91\xA4","bust in silhouette"
"197",6,"U+1F476","\xF0\x9F\x91\xB6","baby"
"198",6,"U+1F47C","\xF0\x9F\x91\xBC","baby angel"
"199",6,"U+1F47D","\xF0\x9F\x91\xBD","extraterrestrial alien"
"200",6,"U+1F48E","\xF0\x9F\x92\x8E","gem stone"
"201",6,"U+1F4A4","\xF0\x9F\x92\xA4","sleeping symbol"
"202",6,"U+1F619","\xF0\x9F\x98\x99","kissing face with smiling eyes"
"203",5,"U+1F630","\xF0\x9F\x98\xB0","face with open mouth and cold sweat"
"204",5,"U+1F649","\xF0\x9F\x99\x89","hear-no-evil monkey"
"205",5,"U+25B6","\xE2\x96\xB6","black right-pointing triangle"
"206",5,"U+261D","\xE2\x98\x9D","white up pointing index"
"207",5,"U+264A","\xE2\x99\x8A","gemini"
"208",5,"U+26FD","\xE2\x9B\xBD","fuel pump"
"209",5,"U+1F305","\xF0\x9F\x8C\x85","sunrise"
"210",5,"U+1F338","\xF0\x9F\x8C\xB8","cherry blossom"
"211",5,"U+1F3AD","\xF0\x9F\x8E\xAD","performing arts"
"212",5,"U+1F3C8","\xF0\x9F\x8F\x88","american football"
"213",5,"U+1F431","\xF0\x9F\x90\xB1","cat face"
"214",5,"U+1F449","\xF0\x9F\x91\x89","white right pointing backhand index"
"215",5,"U+1F46E","\xF0\x9F\x91\xAE","police officer"
"216",5,"U+1F473","\xF0\x9F\x91\xB3","man with turban"
"217",5,"U+1F4A3","\xF0\x9F\x92\xA3","bomb"
"218",5,"U+1F4A9","\xF0\x9F\x92\xA9","pile of poo"
"219",5,"U+1F4BF","\xF0\x9F\x92\xBF","optical disc"
"220",5,"U+1F535","\xF0\x9F\x94\xB5","large blue circle"
"221",4,"U+1F628","\xF0\x9F\x98\xA8","fearful face"
"222",4,"U+1F635","\xF0\x9F\x98\xB5","dizzy face"
"223",4,"U+1F646","\xF0\x9F\x99\x86","face with ok gesture"
"224",4,"U+27A1","\xE2\x9E\xA1","black rightwards arrow"
"225",4,"U+1F680","\xF0\x9F\x9A\x80","rocket"
"226",4,"U+1F192","\xF0\x9F\x86\x92","squared cool"
"227",4,"U+0038 U+20E3","\x38\xE2\x83\xA3","digit eight + combining enclosing keycap"
"228",4,"U+0039 U+20E3","\x39\xE2\x83\xA3","digit nine + combining enclosing keycap"
"229",4,"U+2693","\xE2\x9A\x93","anchor"
"230",4,"U+26AB","\xE2\x9A\xAB","medium black circle"
"231",4,"U+26BD","\xE2\x9A\xBD","soccer ball"
"232",4,"U+1F33E","\xF0\x9F\x8C\xBE","ear of rice"
"233",4,"U+1F34D","\xF0\x9F\x8D\x8D","pineapple"
"234",4,"U+1F352","\xF0\x9F\x8D\x92","cherries"
"235",4,"U+1F353","\xF0\x9F\x8D\x93","strawberry"
"236",4,"U+1F355","\xF0\x9F\x8D\x95","slice of pizza"
"237",4,"U+1F370","\xF0\x9F\x8D\xB0","shortcake"
"238",4,"U+1F3A8","\xF0\x9F\x8E\xA8","artist palette"
"239",4,"U+1F3C4","\xF0\x9F\x8F\x84","surfer"
"240",4,"U+1F433","\xF0\x9F\x90\xB3","spouting whale"
"241",4,"U+1F43C","\xF0\x9F\x90\xBC","panda face"
"242",4,"U+1F470","\xF0\x9F\x91\xB0","bride with veil"
"243",4,"U+1F484","\xF0\x9F\x92\x84","lipstick"
"244",4,"U+1F486","\xF0\x9F\x92\x86","face massage"
"245",4,"U+1F48F","\xF0\x9F\x92\x8F","kiss"
"246",4,"U+1F4DA","\xF0\x9F\x93\x9A","books"
"247",4,"U+1F511","\xF0\x9F\x94\x91","key"
"248",4,"U+1F534","\xF0\x9F\x94\xB4","large red circle"
"249",4,"U+1F698","\xF0\x9F\x9A\x98","oncoming automobile"
"250",4,"U+1F6AE","\xF0\x9F\x9A\xAE","put litter in its place symbol"
"251",4,"U+1F30D","\xF0\x9F\x8C\x8D","earth globe europe-africa"
"252",4,"U+1F37C","\xF0\x9F\x8D\xBC","baby bottle"
"253",4,"U+1F46C","\xF0\x9F\x91\xAC","two men holding hands"
"254",3,"U+1F64D","\xF0\x9F\x99\x8D","person frowning"
"255",3,"U+2705","\xE2\x9C\x85","white heavy check mark"
"256",3,"U+2795","\xE2\x9E\x95","heavy plus sign"
"257",3,"U+1F6AB","\xF0\x9F\x9A\xAB","no entry sign"
"258",3,"U+1F6B2","\xF0\x9F\x9A\xB2","bicycle"
"259",3,"U+24C2","\xE2\x93\x82","circled latin capital letter m"
"260",3,"U+1F170","\xF0\x9F\x85\xB0","negative squared latin capital letter a"
"261",3,"U+1F199","\xF0\x9F\x86\x99","squared up with exclamation mark"
"262",3,"U+2049","\xE2\x81\x89","exclamation question mark"
"263",3,"U+0037 U+20E3","\x37\xE2\x83\xA3","digit seven + combining enclosing keycap"
"264",3,"U+0023 U+20E3","\x23\xE2\x83\xA3","number sign + combining enclosing keycap"
"265",3,"U+25FE","\xE2\x97\xBE","black medium small square"
"266",3,"U+260E","\xE2\x98\x8E","black telephone"
"267",3,"U+26A1","\xE2\x9A\xA1","high voltage sign"
"268",3,"U+26C5","\xE2\x9B\x85","sun behind cloud"
"269",3,"U+26F5","\xE2\x9B\xB5","sailboat"
"270",3,"U+2B1C","\xE2\xAC\x9C","white large square"
"271",3,"U+1F306","\xF0\x9F\x8C\x86","cityscape at dusk"
"272",3,"U+1F309","\xF0\x9F\x8C\x89","bridge at night"
"273",3,"U+1F34A","\xF0\x9F\x8D\x8A","tangerine"
"274",3,"U+1F34E","\xF0\x9F\x8D\x8E","red apple"
"275",3,"U+1F357","\xF0\x9F\x8D\x97","poultry leg"
"276",3,"U+1F38E","\xF0\x9F\x8E\x8E","japanese dolls"
"277",3,"U+1F3A9","\xF0\x9F\x8E\xA9","top hat"
"278",3,"U+1F3AE","\xF0\x9F\x8E\xAE","video game"
"279",3,"U+1F3B2","\xF0\x9F\x8E\xB2","game die"
"280",3,"U+1F3E1","\xF0\x9F\x8F\xA1","house with garden"
"281",3,"U+1F40D","\xF0\x9F\x90\x8D","snake"
